SOURCE	TARGET	FWD_RATE	RVS_RATE	LOCATION
[lacI,lacI]	SMALL-alpha-ALLOLACTOSE	10.0	0.01	cytosol
[lacI,lacI,SMALL-alpha-ALLOLACTOSE]	SMALL-beta-ALLOLACTOSE	10.0	0.01	cytosol
[lacI,lacI]	SMALL-beta-ALLOLACTOSE	10.0	0.01	cytosol
[lacI,lacI,SMALL-beta-ALLOLACTOSE]	SMALL-beta-ALLOLACTOSE	10.0	0.01	cytosol
