SOURCE	TARGET	FWD_RATE	RVS_RATE	LOCATION
[lacI,lacI]	SMALL-alpha-ALLOLACTOSE	0	0	cytosol
[lacI,lacI,SMALL-alpha-ALLOLACTOSE]	SMALL-alpha-ALLOLACTOSE	0	0	cytosol
[lacI,lacI]	SMALL-beta-ALLOLACTOSE	0	0	cytosol
[lacI,lacI,SMALL-beta-ALLOLACTOSE]	SMALL-beta-ALLOLACTOSE	0	0	cytosol
