SOURCE	TARGET	FWD_RATE	RVS_RATE
BETAGALACTOSID-MONOMER	BETAGALACTOSID-MONOMER	1.0	0.0
[BETAGALACTOSID-MONOMER, BETAGALACTOSID-MONOMER]	[BETAGALACTOSID-MONOMER, BETAGALACTOSID-MONOMER]	1.0	0.0
GALACTOACETYLTRAN-MONOMER	GALACTOACETYLTRAN-MONOMER	1.0	0.0
GALACTOACETYLTRAN-MONOMER	[GALACTOACETYLTRAN-MONOMER, GALACTOACETYLTRAN-MONOMER]	1.0	0.0
